0,92,67
1,86,75
2,86,75
3,86,75
4,86,74
5,86,74
6,86,74
7,86,74
8,86,74
9,86,74
10,87,74
11,87,73
12,87,73
13,87,73
14,88,72
15,88,72
16,88,72
17,88,71
18,88,71
19,89,71
20,89,70
21,90,70
22,90,70
23,90,69
24,91,69
25,91,69
26,92,68
27,92,68
28,92,68
29,93,68
30,93,67
31,93,67
32,93,67
33,93,67
34,93,67
35,93,67
36,93,67
37,93,68
38,93,68
39,92,68
40,91,68
41,90,69
42,89,69
43,87,70
44,85,71
45,83,71
46,81,72
47,79,73
48,77,73
49,75,74
50,73,75
51,71,76
52,69,77
53,68,77
54,67,78
55,67,78
56,67,78
57,68,78
58,69,78
59,70,78
60,71,78
61,71,78
62,72,78
63,72,78
64,72,77
65,72,77
66,72,77
67,72,78
68,72,78
69,72,78
70,72,78
71,72,77
72,72,77
73,72,77
74,73,76
75,73,76
76,73,75
77,74,75
78,75,74
79,76,74
80,77,73
81,78,72
82,80,72
83,82,72
84,83,71
85,85,71
86,87,71
87,90,71
88,92,70
89,94,70
90,96,70
91,97,69
92,98,69
93,99,69
94,100,69
95,100,68
96,100,68
97,100,68
98,99,69
99,98,69
100,97,69
101,96,70
102,94,70
103,92,70
104,90,71
105,87,71
106,85,70
107,83,71
108,82,71
109,81,71
110,80,70
111,79,70
112,78,70
113,78,70
114,77,70
115,77,69
116,77,69
117,77,69
118,77,69
119,77,69
120,77,69
121,77,69
122,77,69
123,77,69
124,77,69
125,77,69
126,77,69
127,77,69
128,77,69
129,77,69
130,77,69
131,77,69
132,77,69
133,77,68
134,77,68
135,77,68
136,77,68
137,78,68
138,78,68
139,79,68
140,80,68
141,80,68
142,81,67
143,81,67
144,82,67
145,82,67
146,82,67
147,82,67
148,82,67
149,82,66
150,82,66
151,82,66
152,82,66
153,82,66
154,82,66
155,82,66
156,82,66
157,82,66
158,82,66
159,82,67
160,82,67
161,83,67
162,83,67
163,83,68
164,83,68
165,83,68
166,83,68
167,83,68
168,83,68
169,83,68
170,83,69
171,83,69
172,84,70
173,84,70
174,84,70
175,84,70
176,84,70
177,84,70
178,84,70
179,85,70
180,85,70
181,85,70
182,86,70
183,86,70
184,87,70
185,87,70
186,88,70
187,89,71
188,90,71
189,91,72
190,94,73
191,95,74
192,96,74
193,97,75
194,98,76
195,99,77
196,100,77
197,102,78
198,103,79
199,105,80
200,106,81
201,107,81
202,108,82
203,109,81
204,103,83
205,104,82
206,105,81
207,105,80
208,104,78
209,103,77
210,100,75
211,97,74
212,94,73
213,91,72
214,88,71
215,85,71
216,82,70
217,79,69
218,76,68
219,73,68
220,70,68
221,68,68
222,66,68
223,65,68
224,63,69
225,63,69
226,62,69
227,63,69
228,63,70
229,65,70
230,67,71
231,69,72
232,71,72
233,73,73
234,76,73
235,78,74
236,79,75
237,81,75
238,82,75
239,84,75
240,85,75
241,86,75
242,86,75
243,87,75
244,87,75
245,88,75
246,88,75
247,87,75
248,87,75
249,86,74
250,85,74
251,85,74
252,84,74
253,83,74
254,82,74
255,82,73
256,81,73
